N,P,K,temperature,humidity,ph,rainfall,label
89.27161110466318,28.027998824584664,73.35666401844148,30.535308853571834,80.40277001039303,6.711488355825437,35.66666171515236,muskmelon
72.42403885581318,19.219391844250794,66.96005484279414,30.41506282122488,86.08569489272622,6.6426140597042735,43.49783223174142,watermelon
44.50428596157247,28.241289057527784,47.785185888128986,31.129773415893602,89.78450430131556,7.323594802149546,195.6563928561169,papaya
65.93990390188816,10.565294020999554,40.59641056619232,26.29403000598568,78.77496652568206,6.644323685281013,148.74404737597882,papaya
25.39278272874621,24.566310209874693,189.93859145573143,14.451897611270066,68.2551383891236,5.881940299979343,116.96591796546795,apple
27.597219919781836,24.175312646913092,37.468305743906186,27.568820514985727,60.02646011780344,5.551484819494433,84.10478728306236,mango
31.568060584204446,23.442101340275293,162.6097580713959,8.247506089672019,75.04395477739821,6.642707882432429,93.16383521259039,apple
15.257112398392302,51.481499197264334,32.65615406388156,34.22689540949797,54.70326538260598,6.623758871527451,46.99859318966241,mothbeans
31.976665112390936,57.95221209949524,39.923735435291746,32.201574609309404,58.61663627615452,7.319628603441515,32.9532548724457,mungbean
28.431891841700953,70.31372790447692,32.06677881156898,16.28734015059993,45.32202737074617,6.078012841525636,43.222671279604356,lentil
26.447507378176788,51.83438172516573,36.676504559473685,27.439953023524723,79.33468455070216,7.4372071797067445,67.33421501500071,blackgram
38.60830589370729,22.214969899086192,32.89625038817027,32.61969744597153,83.94221411829413,5.135688892760645,100.18727439191686,coconut
37.21498201092881,16.58147558921456,39.43762900242199,25.12088576698664,58.81380375446464,5.595562729362811,67.61154875353726,pomegranate
71.86825156679598,56.88310212404595,37.48056932720106,33.169833808090694,72.2100270245538,7.244169959642496,210.27298005076017,jute
30.33643566578143,18.23919359791598,31.344987733340417,34.95052752479248,94.06725447848842,5.012845273508311,188.54387643623056,coconut
38.87937901195331,14.803031920440283,39.70573841211114,21.838128894818148,51.53872246689679,5.80968278929491,67.80969717306897,pomegranate
25.82700509005328,13.840839871180082,195.2212671158575,6.981041942410874,50.77421504573693,5.53041996065113,104.89261425817057,apple
